Geographic_area,Indicator,Service_Type,Residence,Time_period,Observation_Value
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Rural,2017,38.5269121813031
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Rural,2018,38.5269121813031
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Rural,2019,38.5269121813031
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Rural,2020,38.5269121813031
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Rural,2021,38.5269121813031
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2017,22.662889518413589
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2018,22.662889518413589
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2019,22.662889518413589
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2020,22.662889518413589
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2021,22.662889518413589
Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2017,38.8101983002833
Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2018,38.8101983002833
Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2019,38.8101983002833
Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2020,38.8101983002833
Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2021,38.8101983002833
Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2017,5.2713178294573648
Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2018,5.2713178294573648
Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2019,5.2713178294573648
Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2020,5.2713178294573648
Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2021,5.2713178294573648
Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2017,15.968992248062021
Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2018,15.968992248062021
Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2019,15.968992248062021
Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2020,15.968992248062021
Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2021,15.968992248062021
Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2017,78.759689922480618
Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2018,78.759689922480618
Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2019,78.759689922480618
Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2020,78.759689922480618
Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2021,78.759689922480618
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Urban,2017,61.111111111111107
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Urban,2018,61.111111111111107
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Urban,2019,61.111111111111107
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Urban,2020,61.111111111111107
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Urban,2021,61.111111111111107
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Urban,2017,21.212121212121229
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Urban,2018,21.212121212121229
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Urban,2019,21.212121212121229
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Urban,2020,21.212121212121229
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Urban,2021,21.212121212121229
Sudan,Proportion of schools with no drinking water service,Drinking Water,Urban,2017,17.676767676767671
Sudan,Proportion of schools with no drinking water service,Drinking Water,Urban,2018,17.676767676767671
Sudan,Proportion of schools with no drinking water service,Drinking Water,Urban,2019,17.676767676767671
Sudan,Proportion of schools with no drinking water service,Drinking Water,Urban,2020,17.676767676767671
Sudan,Proportion of schools with no drinking water service,Drinking Water,Urban,2021,17.676767676767671
Sudan,Proportion of schools with basic hygiene services,Hygiene,Urban,2017,15.42553191489362
Sudan,Proportion of schools with basic hygiene services,Hygiene,Urban,2018,15.42553191489362
Sudan,Proportion of schools with basic hygiene services,Hygiene,Urban,2019,15.42553191489362
Sudan,Proportion of schools with basic hygiene services,Hygiene,Urban,2020,15.42553191489362
Sudan,Proportion of schools with basic hygiene services,Hygiene,Urban,2021,15.42553191489362
Sudan,Proportion of schools with limited hygiene services,Hygiene,Urban,2017,22.87234042553191
Sudan,Proportion of schools with limited hygiene services,Hygiene,Urban,2018,22.87234042553191
Sudan,Proportion of schools with limited hygiene services,Hygiene,Urban,2019,22.87234042553191
Sudan,Proportion of schools with limited hygiene services,Hygiene,Urban,2020,22.87234042553191
Sudan,Proportion of schools with limited hygiene services,Hygiene,Urban,2021,22.87234042553191
