Geographic_area,Indicator,Service_Type,Residence,Time_period,Observation_Value,ISO3,Country,Residence Type,Service Type,Year,Coverage,Population,Service level,Residence_type,Service_type,Service_level,country_name,indicator_name,value,year
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Rural,2017.0,38.5269121813031,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Rural,2018.0,38.5269121813031,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Rural,2019.0,38.5269121813031,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Rural,2020.0,38.5269121813031,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic drinking water services,Drinking Water,Rural,2021.0,38.5269121813031,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2017.0,22.66288951841359,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2018.0,22.66288951841359,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2019.0,22.66288951841359,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2020.0,22.66288951841359,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited drinking water services,Drinking Water,Rural,2021.0,22.66288951841359,,,,,,,,,,,,,,,
Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2017.0,38.8101983002833,,,,,,,,,,,,,,,
Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2018.0,38.8101983002833,,,,,,,,,,,,,,,
Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2019.0,38.8101983002833,,,,,,,,,,,,,,,
Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2020.0,38.8101983002833,,,,,,,,,,,,,,,
Sudan, Proportion of schools with no drinking water service,Drinking Water,Rural,2021.0,38.8101983002833,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2017.0,5.271317829457365,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2018.0,5.271317829457365,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2019.0,5.271317829457365,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2020.0,5.271317829457365,,,,,,,,,,,,,,,
Sudan,Proportion of schools with basic hygiene services,Hygiene,Rural,2021.0,5.271317829457365,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2017.0,15.96899224806202,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2018.0,15.96899224806202,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2019.0,15.96899224806202,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2020.0,15.96899224806202,,,,,,,,,,,,,,,
Sudan,Proportion of schools with limited hygiene services,Hygiene,Rural,2021.0,15.96899224806202,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2017.0,78.7596899224806,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2018.0,78.7596899224806,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2019.0,78.7596899224806,,,,,,,,,,,,,,,
Sudan,Proportion of schools with no hygiene service,Hygiene,Rural,2020.0,78.7596899224806,,,,,,,,,,,,,,,
