country_name,indicator_name,value,year
Sudan,"Industry (including construction), value added (annual % growth)",-5.699999885,2020
Sudan,"Mortality rate, under-5, male (per 1,000 live births)",61.3,2020
Sudan,"Population ages 50-54, male (% of male population)",3.180479379,2020
Sudan,"Tuberculosis case detection rate (%, all forms)",62,2020
Sudan,"Employment to population ratio, ages 15-24, female (%) (modeled ILO estimate)",9.31099987,2020
Sudan,"Population ages 15-64, total",24786462,2020
Sudan,"Prevalence of HIV, male (% ages 15-24)",0.1,2020
Sudan,"Short-term debt (% of exports of goods, services and primary income)",113.553143,2020
Sudan,Imports of goods and services (current US$),74409934.31,2020
Sudan,"Inflation, GDP deflator: linked series (annual %)",115.2777685,2020
Sudan,"Net trade in goods (BoP, current US$)",-5051335393,2020
Sudan,Bank liquid reserves to bank assets ratio (%),94.82032606,2020
Sudan,Broad money (% of GDP),31.9390624,2020
Sudan,"Current account balance (BoP, current US$)",-5841223939,2020
Sudan,Discrepancy in expenditure estimate of GDP (constant LCU),417800,2020
Sudan,Taxes less subsidies on products (current LCU),810502190800,2020
Sudan,Taxes less subsidies on products (current US$),4259076147,2020
Sudan,Antiretroviral therapy coverage for PMTCT (% of pregnant women living with HIV),3,2020
Sudan,Gross fixed capital formation (constant 2015 US$),8639787489,2020
Sudan,Households and NPISHs Final consumption expenditure per capita growth (annual %),-5.682379879,2020
Sudan,"People using at least basic drinking water services, urban (% of urban population)",73.76365956,2020
Sudan,"Population ages 70-74, female (% of female population)",1.103104944,2020
Sudan,Population in urban agglomerations of more than 1 million (% of total population),13.29294224,2020
Sudan,"Computer, communications and other services (% of commercial service imports)",7.751858514,2020
Sudan,"GNI per capita, PPP (constant 2017 international $)",3649.896356,2020
Sudan,"Human capital index (HCI), male, upper bound (scale 0-1)",0.3857819438,2020
Sudan,"IBRD loans and IDA credits (DOD, current US$)",1233772000,2020
Sudan,Military expenditure (current USD),934311153.8,2020
Sudan,"Population ages 30-34, female (% of female population)",6.404938772,2020
Sudan,"PPG, official creditors (NFL, current US$)",-111026978.2,2020
Sudan,"PPP conversion factor, GDP (LCU per international $)",22.34560026,2020
Sudan,Broad money growth (annual %),87.99138313,2020
Sudan,Import unit value index (2000 = 100),145.795954,2020
Sudan,"Industry (including construction), value added (current US$)",4984365347,2020
Sudan,"Population ages 65 and above, female",862810,2020
Sudan,Present value of external debt (current US$),6400000000,2020
Sudan,"Reserves and related items (BoP, current US$)",-1979196308,2020
Sudan,Risk of impoverishing expenditure for surgical care (% of people at risk),46.4,2020
Sudan,Households and NPISHs Final consumption expenditure (constant 2015 US$),22793295536,2020
Sudan,"Industry (including construction), value added (constant 2015 US$)",7812360959,2020
Sudan,"Internally displaced persons, new displacement associated with conflict and violence (number of cases)",79000,2020
Sudan,"Labor force participation rate for ages 15-24, male (%) (modeled ILO estimate)",33.16199875,2020
Sudan,Rural population,28391086,2020
Sudan,"Employment to population ratio, ages 15-24, male (%) (modeled ILO estimate)",22.85000038,2020
Sudan,Final consumption expenditure (annual % growth),-3.700093012,2020
Sudan,Import value index (2000 = 100),633.5851098,2020
Sudan,Number of infant deaths,54481,2020
Sudan,"Agriculture, forestry, and fishing, value added (constant LCU)",6582251000,2020
Sudan,"Agriculture, forestry, and fishing, value added (current LCU)",826246868900,2020
Sudan,Fixed broadband subscriptions,28782,2020
Sudan,GNI: linked series (current LCU),3778825610700,2020
Sudan,Military expenditure (% of general government expenditure),8.254452162,2020
Sudan,"Population ages 10-14, female (% of female population)",11.9701901,2020
Sudan,"Claims on central government, etc. (% GDP)",11.89034515,2020
